external_gene_name	description	ensembl_gene_id	chromosome_name	start_position	end_position	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FLRT2	fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]	ENSG00000185070	14	85530144	85654426	1	1549.854169626851	0.8121263388077284	0.10849065692352408	7.485679982380443	7.117764034254912e-14	2.1536218638445087e-9
WDR66	WD repeat domain 66 [Source:HGNC Symbol;Acc:HGNC:28506]	ENSG00000158023	12	121917862	122003927	1	1218.756193919026	-0.6320839965241047	0.087408285519772	-7.231396803694605	4.780512908538836e-13	7.232198953682977e-9
CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	ENSG00000157388	3	53328963	53813733	1	1533.9803971866381	0.7925417394386652	0.11680110910656143	6.785395665340847	1.157687903217325e-11	1.16760542958822e-7
DMBT1	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]	ENSG00000187908	10	122560665	122643736	1	748.0662013538741	-0.964540306165256	0.15051430136251595	-6.4082967361496515	1.4715429549963444e-10	1.1131118797331097e-6
COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	ENSG00000164692	7	94394561	94431232	1	2485.6854106257247	-0.7300052944062602	0.11662632727753905	-6.25935251025307	3.8657914655582973e-10	2.339345047467948e-6
DMKN	dermokine [Source:HGNC Symbol;Acc:HGNC:25063]	ENSG00000161249	19	35497220	35513658	-1	601.764306722837	-0.5643021228635988	0.09992806048091396	-5.647083713501868	1.6319237776177607e-8	8.229519623230097e-5
CPEB4	cytoplasmic polyadenylation element binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21747]	ENSG00000113742	5	173888280	173961976	1	221.87646671522285	-0.6758299130011521	0.1313159597873168	-5.1465938648717655	2.652587627331516e-7	0.0011465620548595668
AC020978.5	novel transcript, antisense to NFATC3	ENSG00000262160	16	68225969	68229145	-1	25.162702202440837	21.72764864228794	4.249216536147574	5.113330529864375	3.1652773176143065e-7	0.001197147447488201
CPA4	carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]	ENSG00000128510	7	130293134	130324180	1	3767.359864385403	-0.5844667331333511	0.11603411973815467	-5.037024751446148	4.728236597601467e-7	0.0013121735341791478
MYT1	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]	ENSG00000196132	20	64102394	64242253	1	45.9877141960739	-1.600169320990248	0.31778276631030977	-5.035418816348613	4.7680517753602195e-7	0.0013121735341791478
MYT1	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]	ENSG00000276876	CHR_HSCHR20_1_CTG3	64155437	64245898	1	45.9870899431001	-1.6000882466367328	0.31777270898927307	-5.035323051265382	4.770436221691056e-7	0.0013121735341791478
HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	ENSG00000132196	1	162790702	162812817	1	558.5856860395002	0.6205155475289162	0.12722244537506597	4.877406228905341	1.0748991921676364e-6	0.0027102687381180142
AP3S1	adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013]	ENSG00000177879	5	115841481	115914081	1	1355.7763041204457	0.460510917385105	0.09674734365529167	4.759933451257264	1.936568022199471e-6	0.0045072875882838
EHD2	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]	ENSG00000024422	19	47713343	47743134	1	976.1042774325983	0.47564993397888	0.10270760237518868	4.631107366729689	3.6371519256137724e-6	0.007561875437642681
KLF5	Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	ENSG00000102554	13	73054976	73077542	1	1547.7944485393723	0.42630769030474536	0.092177765173443	4.624842981413128	3.7488228034716002e-6	0.007561875437642681
AFAP1L1	actin filament associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:26714]	ENSG00000157510	5	149271871	149341802	1	263.1635631944148	0.7847529262186753	0.17152761775853623	4.575082056601473	4.760333723986814e-6	0.009002088592916815
